Formulaire;Millésime;Zone;Type;Donnée;Répétable;Table/Format;Balise XML;Intitulé;Commentaire;Code NREF
2042-I-1;20;CC;CCI;C889.7111.01;NON;TBX;Valeur;Déclarant 1 titulaire d'une pension (militaire, accident du travail) pour invalidité d'au moins 40% ou de la carte d'invalidité ou de la carte mobilité inclusion (CMI) invalidité;;0200AP
2042-I-1;20;CD;CCI;C889.7111.01;NON;TBX;Valeur;Vous êtes célibataire, divorcé, séparé, veuf et : - vous avez plus de 74 ans et remplissez ces conditions, - vous avez plus de 74 ans et votre conjoint décédé remplissait ces conditions , - votre conjoint âgé de plus de 74 ans décédé en N remplissait ces conditions.;;0200AW
2042-I-1;20;CE;CCI;C889.7111.01;NON;TBX;Valeur;Vous êtes mariés ou pacsés et l'un des deux déclarants âgé de plus de 74 ans remplit ces conditions;;0200AS
2042-I-1;20;CF;CCI;C889.7111.01;NON;TBX;Valeur;Veuve tituliare d'une pension de veuve de guerre;;0200AG
2042-I-1;20;CG;CCI;C889.7111.01;NON;TBX;Valeur;Vous êtes célibataire, divorcé, séparé et, au 01/01/N, vous vivez seul avec vos enfants ou des personnes invalides recueillies sous votre toit;;0200BT
2042-I-1;20;DA;CCI;C889.7111.01;NON;TBX;Valeur;Votre conjoint remplit ses conditions, ou votre conjoint, décédé en N, remplissait ces conditions;;0200AF
2042-I-1;20;EA;CCI;C889.7111.01;NON;TBX;Valeur;Enfant non marié de moins de 18 ans au 01/01/N ou nés en N ou handicapé quel que soit l'âge;;025AGA
2042-I-1;20;EB;CCI;C889.7111.01;NON;TBX;Valeur;Veuillez indiquer si cet enfant est tituliare d'une carte d'invalidité;;025AGB
2042-I-1;20;EC;CCI;C889.7111.01;NON;TBX;Valeur;Enfant non marié de moins de 18 ans au 1er janvier N ou né en N ou handicapé quel que soit l'âge;;025AHA
2042-I-1;20;ED;CCI;C889.7111.01;NON;TBX;Valeur;Veuillez indiquer si cet enfant est titulaire d'une carte d'invalidité;;025AHB
2042-I-1;20;EE;NAD;0000.3164.01;NON;;AdresseVille;Adresse de l'autre parent - Ville;35 alphanumérique;025AP5
2042-I-1;20;EE;NAD;0000.3251.01;NON;;AdresseCodePostal;Adresse de l'autre parent - Code postal;5 alphanumérique fixe;025AP4
2042-I-1;20;EE;NAD;C059.3042.01;NON;;AdresseNumero, AdresseRepetabilite, AdresseVoie;Adresse de l'autre parent - N°, [0..9/A..Z] libellé voie;35 alphanumérique dont position 1 à 4 : numérique  position 5 : [0..9/A..Z];025AP1
2042-I-1;20;EE;NAD;C059.3042.02;NON;;AdresseComplement;Adresse de l'autre parent - Complément;35 alphanumérique;025AP2
2042-I-1;20;EE;NAD;C059.3042.03;NON;;AdresseHameau;Adresse de l'autre parent - Lieu dit, Hameau;35 alphanumérique;025AP3
2042-I-1;20;EE;NAD;C080.3036.01;NON;;Designation;Nom de l'autre parent;35 alpha;025AH1
2042-I-1;20;EE;NAD;C080.3036.02;NON;;DesignationSuite1;Prénoms de l'autre parent;35 alpha;025AH2
2042-I-1;20;EF;CCI;C889.7111.01;NON;TBX;Valeur;Personne titulaire de la carte d'invalidité d'au moins 80%;;025ARA
2042-I-1;20;EG;CCI;C889.7111.01;NON;TBX;Valeur;Enfant célibataire (ou veuf ou divorcé) majeurs sans enfant;;025AJA
2042-I-1;20;EH;CCI;C889.7111.01;NON;TBX;Valeur;Enfant marié/pacsé et d'enfant non marié chargé de famille (y compris le conjoint et les enfants à charge exclusive);;025ANA
2042-I-1;20;EI;CCI;C889.7111.01;NON;TBX;Valeur;Petits-enfants en résidence alternée issus de parents rattachés;;025APA
2042-I-1;20;FA;NAD;0000.3164.01;OUI;;AdresseVille;Adresse de l'exploitation - Ville;;105AA6
2042-I-1;20;FA;NAD;0000.3251.01;OUI;;AdresseCodePostal;Adresse de l'exploitation - Code postal;5 alphanumérique fixe;105AA5
2042-I-1;20;FA;NAD;C059.3042.01;OUI;;AdresseNumero, AdresseRepetabilite, AdresseVoie;Adresse de l'exploitation - N°, [0..9/A..Z] libellé voie;35 alphanumérique dont position 1 à 4 : numérique  position 5 : [0..9/A..Z];105AA2
2042-I-1;20;FA;NAD;C059.3042.02;OUI;;AdresseComplement;Adresse de l'exploitation - Complément;;105AA3
2042-I-1;20;FA;NAD;C059.3042.03;OUI;;AdresseHameau;Adresse de l'exploitation - Lieu dit, Hameau;;105AA4
2042-I-1;20;FA;NAD;C082.3039.01;OUI;;Identifiant;N°SIRET;14 numérique fixe;105AA1
2042-I-1;20;FB;CCI;C889.7111.01;OUI;NRV;Valeur;Nature des revenus;;105AA8
2042-I-1;20;FC;CCI;C889.7111.01;OUI;REG;Valeur;Régime d'imposition (Réel / Micro / Forfait );;105AA9
2042-I-1;20;FE;CCI;C889.7111.01;OUI;TBX;Valeur;Activité non professionnelle : activité professionnnelle non sirénisée (san K-Bis) exercée;;105AA0
2042-I-1;20;FF;CCI;C889.7111.01;OUI;TBX;Valeur;Vous êtes au régime micro au titre des revenus profes-sionnels et vous ne déclarez que des plus ou moins-values;;105BA0
2042-I-1;20;FG;CCI;C889.7111.01;OUI;TBX;Valeur;Vous êtes au régime micro BNC pour des revenus non professionnels et vous déclarez uniquement des revenus nets exonérés,;;105BA1
2042-I-1;20;GA;CCI;C889.7111.01;NON;TBX;Valeur;Etudiant ayant la disposition privative d'un logement (métropole ou DOM) indépendant (2);;025GAP
2042-I-1;20;GB;NAD;C819.3228.01;NON;;AdresseDivisionTerritoriale;Logement étuditant - code 99100 : adresse codée (codification sous la forme code INSEE département/commune + code voie DGFiP + n° voie  + indice de répétition;9 minimum (code comune + voirie) ou 13 (code commune + voirie + numéro de voie) ou 14 (code commune + voirie + numéro de voie indice de répétition);025GAA
2042-I-1;20;GB;NAD;C819.3229.01;NON;;AdresseCodeDivisionTerritoriale;Logement étuditant  - Code Pays (Code INSEE);5 numérique fixe;025GAQ
2042-I-1;20;GC;RFF;C506.1154.01;NON;;Valeur;Logement étuditant - Si appartement- N° d'appartement;5 alphanumérique;025GAB
2042-I-1;20;GD;QTY;C186.6060.01;NON;;Valeur;Logement étuditant - Si appartement- Etage;2 numérique;025GAC
2042-I-1;20;GE;RFF;C506.1154.01;NON;;Valeur;Logement étuditant - Si appartement- Escalier;3 alphanumérique;025GAD
2042-I-1;20;GF;RFF;C506.1154.01;NON;;Valeur;Logement étuditant - Si appartement- Bâtiment;10 alphanumérique;025GAE
2042-I-1;20;GG;RFF;C506.1154.01;NON;;Valeur;Logement étuditant - Si appartement- Résidence;30 alphanumérique;025GAF
2042-I-1;20;GH;QTY;C186.6060.01;NON;;Valeur;Logement étuditant - Si appartement- Nombre de pièces;2 numérique;025GAG
2042-I-1;20;GI;QTY;C186.6060.01;NON;;Valeur;Logement étuditant - Si appartement- Superficie;3 numérique;025GAH
2042-I-1;20;GJ;CCI;C889.7111.01;NON;SMO;Valeur;Logement étuditant - Mode d'occupation- Statut;;025GAI
2042-I-1;20;GK;NAD;C080.3036.01;NON;;Designation;Logement étuditant - Mode d'occupation- Nom du propriétaire;35 alphanumérique;025GAJ
2042-I-1;20;GK;NAD;C080.3036.02;NON;;DesignationSuite1;Logement étuditant - Mode d'occupation- Prénom du propriétaire;30 alphanumérique;025GAK
2042-I-1;20;GL;NAD;C080.3036.01;NON;;Designation;Logement étuditant - Nom du colocataire (en cas de colocation);35 alphanumérique;025GAL
2042-I-1;20;GL;NAD;C080.3036.02;NON;;DesignationSuite1;Logement étuditant - Prénom du colocataire (en cas de colocation);35 alphanumérique;025GAM
2042-I-1;20;GM;NAD;C080.3036.01;NON;;Designation;Logement étuditant - en cas d'hébergement : Nom de la personne vous hébergeant;35 alphanumérique;025GAN
2042-I-1;20;GM;NAD;C080.3036.02;NON;;DesignationSuite1;Logement étuditant - en cas d'hébergement : Prénom de la personne vous hébergeant;30 alphanumérique;025GAO
2042-I-2;20;AA;NAD;C058.3124.01;NON;;AdresseEtrangere1;AFT- Si addresse à l'étranger, adresse en clair (libellé 1);;025ACP
2042-I-2;20;AA;NAD;C058.3124.02;NON;;AdresseEtrangere2;AFT- Si addresse à l'étranger, adresse en clair (libellé 2);;025ACQ
2042-I-2;20;AA;NAD;C058.3124.03;NON;;AdresseEtrangere3;AFT- Si addresse à l'étranger, adresse en clair (libellé 3);;025ACR
2042-I-2;20;AA;NAD;C058.3124.04;NON;;AdresseEtrangere4;AFT- Si addresse à l'étranger, adresse en clair (libellé 4);;025ACS
2042-I-2;20;AA;NAD;C819.3228.01;NON;;AdresseDivisionTerritoriale;AFT- Si résidence en France (code 99100) : adresse codée (codification sous la forme code INSEE département/commune + code voie DGFiP + n° voie  + indice de répétition;9 minimum (code comune + voirie) ou 13 (code commune + voirie + numéro de voie) ou 14 (code commune + voirie + numéro de voie indice de répétition);025ACD
2042-I-2;20;AA;NAD;C819.3229.01;NON;;AdresseCodeDivisionTerritoriale;AFT- Code Pays (Code INSEE);5 numérique fixe;025ACE
2042-I-2;20;AB;RFF;C506.1154.01;NON;;Valeur;AFT- Si appartement- N° d'appartement;5 alphanumérique;025ACF
2042-I-2;20;AC;QTY;C186.6060.01;NON;;Valeur;AFT- Si appartement- Etage;2 numérique;025ACG
2042-I-2;20;AD;RFF;C506.1154.01;NON;;Valeur;AFT- Si appartement- Escalier;3 alphanumérique;025ACH
2042-I-2;20;AE;RFF;C506.1154.01;NON;;Valeur;AFT- Si appartement- Bâtiment;10 alphanumérique;025ACI
2042-I-2;20;AF;RFF;C506.1154.01;NON;;Valeur;AFT- Si appartement- Résidence;30 alphanumérique;025ACJ
2042-I-2;20;AG;QTY;C186.6060.01;NON;;Valeur;AFT- Si appartement- Nombre de pièces;2 numérique;025ACK
2042-I-2;20;AI;DTM;C507.2380.01;NON;102;Valeur;AFT- Si retour en France : Date de retour en France;SSAAMMJJ, Format attendu : yyyyMMdd;1409YR
2042-I-2;20;AJ;CCI;C889.7111.01;NON;SMO;Valeur;AFT- Mode d'occupation- Statut;;025ACL
2042-I-2;20;AK;NAD;C080.3036.01;NON;;Designation;AFT- Mode d'occupation (en cas d'hébergement) : Nom de la personne vous hébergeant;35 alphanumérique;025ACO
2042-I-2;20;AK;NAD;C080.3036.02;NON;;DesignationSuite1;AFT- Mode d'occupation (en cas d'hébergement) : Prénom de la personne vous hébergeant;30 alphanumérique;025ACB
2042-I-2;20;AL;NAD;C080.3036.01;NON;;Designation;AFT- Mode d'occupation- Nom du propriétaire;35 alphanumérique;025ACM
2042-I-2;20;AL;NAD;C080.3036.02;NON;;DesignationSuite1;AFT- Mode d'occupation- Prénom du propriétaire;30 alphanumérique;025ACA
2042-I-2;20;AM;NAD;C080.3036.01;NON;;Designation;AFT- Nom du colocataire (en cas de colocation);35 alphanumérique;025ACT
2042-I-2;20;AM;NAD;C080.3036.02;NON;;DesignationSuite1;AFT- Prénom du colocataire (en cas de colocation);35 alphanumérique;025ACU
2042-I-2;20;AN;CCI;C889.7111.01;NON;TBX;Valeur;AFT - Changement d'adresse au cours de l'année N et au plus tard au 1er janvier N+1;;025XAF
2042-I-2;20;AO;FTX;C108.4440.01;NON;;TexteLibre1;Si vous habitiez dans les DOM et avez déménagé en métropole, veuillez préciser la répartition de vos revenus;;025ACC
2042-I-2;20;BA;CCI;C889.7111.01;NON;TBX;Valeur;DAC-  Avez-vous déménagé depuis le 02/01/N+1?;;025XAB
2042-I-2;20;BB;DTM;C507.2380.01;NON;102;Valeur;DAC- Date du déménagement;Format attendu : yyyyMMdd;025ADZ
2042-I-2;20;BC;NAD;0000.3164.01;NON;;AdresseVille;DAC - En clair - Ville;;025ADT
2042-I-2;20;BC;NAD;0000.3251.01;NON;;AdresseCodePostal;DAC - En clair - Code postal;5 alphanumérique fixe;025ADS
2042-I-2;20;BC;NAD;C058.3124.01;NON;;AdresseEtrangere1;DAC- Si addresse à l'étranger, adresse en clair (libellé 1);;025ADK
2042-I-2;20;BC;NAD;C058.3124.02;NON;;AdresseEtrangere2;DAC- Si addresse à l'étranger, adresse en clair (libellé 2);;025ADL
2042-I-2;20;BC;NAD;C058.3124.03;NON;;AdresseEtrangere3;DAC- Si addresse à l'étranger, adresse en clair (libellé 3);;025ADM
2042-I-2;20;BC;NAD;C058.3124.04;NON;;AdresseEtrangere4;DAC- Si addresse à l'étranger, adresse en clair (libellé 4);;025ADP
2042-I-2;20;BC;NAD;C059.3042.01;NON;;AdresseNumero, AdresseRepetabilite, AdresseVoie;DAC - En clair - N° + indice de répétition + Voie;35 alphanumérique dont position 1 à 4 : numérique  position 5 : [0..9/A..Z];025ADN
2042-I-2;20;BC;NAD;C059.3042.02;NON;;AdresseComplement;DAC - En clair - Complément d'adresse en clair;30 alphanumérique;025ADQ
2042-I-2;20;BC;NAD;C059.3042.03;NON;;AdresseHameau;DAC - En clair - Lieu dit / Hameau;30 alphanumérique;025ADR
2042-I-2;20;BC;NAD;C819.3228.01;NON;;AdresseDivisionTerritoriale;DAC- Si résidence en France (code 99100) : adresse codée (codification sous la forme code INSEE département/commune + code voie DGFiP + n° voie  + indice de répétition;9 minimum (code comune + voirie) ou 13 (code commune + voirie + numéro de voie) ou 14 (code commune + voirie + numéro de voie indice de répétition);025ADD
2042-I-2;20;BC;NAD;C819.3229.01;NON;;AdresseCodeDivisionTerritoriale;DAC- Code Pays (Code INSEE);5 numérique fixe;025ADE
2042-I-2;20;BD;NAD;C080.3036.01;NON;;Designation;DAC- Nom du colocataire (en cas de colocation);35 alphanumérique;025ADV
2042-I-2;20;BD;NAD;C080.3036.02;NON;;DesignationSuite1;DAC- Prénom du colocataire (en cas de colocation);35 alphanumérique;025ADW
2042-I-2;20;BE;RFF;C506.1154.01;NON;;Valeur;DAC- Si appartement- N° d'appartement;5 alphanumérique;025ADF
2042-I-2;20;BF;QTY;C186.6060.01;NON;;Valeur;DAC- Si appartement- Etage;2 numérique;025ADG
2042-I-2;20;BG;RFF;C506.1154.01;NON;;Valeur;DAC- Si appartement- Escalier;3 alphanumérique;025ADH
2042-I-2;20;BH;RFF;C506.1154.01;NON;;Valeur;DAC- Si appartement- Bâtiment;10 alphanumérique;025ADI
2042-I-2;20;BI;RFF;C506.1154.01;NON;;Valeur;DAC- Si appartement- Résidence;30 alphanumérique;025ADJ
2042-I-2;20;BJ;NAD;C080.3036.01;NON;;Designation;DAC- En cas d'hébergement : Nom de la personne vous hébergeant;35 alphanumérique;025ADO
2042-I-2;20;BJ;NAD;C080.3036.02;NON;;DesignationSuite1;DAC- En cas d'hébergement : Prénom de la personne vous hébergeant;30 alphanumérique;025ADU
2042-I-2;20;CA;CCI;C889.7111.01;NON;ASE;Valeur;ASE- A quel titre vous complétez cette adresse spéciale d'envoi ? ° 1- Curatelle, ° 2- Tutelle, ° 3- Héritier en cas de décès du contribuable, ° 4- Notaire en cas de décès du contribuable, ° 5- Parent ou tiers destinataire, ° 6- Boite postale;;025XAC
2042-I-2;20;CB;NAD;0000.3164.01;NON;;AdresseVille;ASE - En clair - Ville;;025AET
2042-I-2;20;CB;NAD;0000.3251.01;NON;;AdresseCodePostal;ASE - En clair - Code postal;5 alphanumérique fixe;025AES
2042-I-2;20;CB;NAD;C058.3124.01;NON;;AdresseEtrangere1;ASE - Adresse à l'étranger - Libellé 1;;025AEK
2042-I-2;20;CB;NAD;C058.3124.02;NON;;AdresseEtrangere2;ASE - Adresse à l'étranger - Libellé 2;;025AEL
2042-I-2;20;CB;NAD;C058.3124.03;NON;;AdresseEtrangere3;ASE - Adresse à l'étranger - Libellé 3;;025AEM
2042-I-2;20;CB;NAD;C058.3124.04;NON;;AdresseEtrangere4;ASE - Adresse à l'étranger - Libellé 4;;025AEV
2042-I-2;20;CB;NAD;C059.3042.01;NON;;AdresseNumero, AdresseRepetabilite, AdresseVoie;ASE - En clair - N° + indice de répétition + Voie;35 alphanumérique dont position 1 à 4 : numérique  position 5 : [0..9/A..Z];025AEN
2042-I-2;20;CB;NAD;C059.3042.02;NON;;AdresseComplement;ASE - En clair - Complément d'adresse en clair;30 alphanumérique;025AEP
2042-I-2;20;CB;NAD;C059.3042.03;NON;;AdresseHameau;ASE - En clair - Lieu dit / Hameau;30 alphanumérique;025AEQ
2042-I-2;20;CB;NAD;C080.3036.01;NON;;Designation;ASE - Nom du destinataire du courrier;30 alphanumérique;025AER
2042-I-2;20;CB;NAD;C080.3036.02;NON;;DesignationSuite1;ASE - Nom suite;30 alphanumérique;025AEO
2042-I-2;20;CB;NAD;C819.3228.01;NON;;AdresseDivisionTerritoriale;ASE - Si résidence en France (code 99100) : adresse codée (codification sous la forme code INSEE département/commune + code voie DGFiP + n° voie  + indice de répétition;9 minimum (code comune + voirie) ou 13 (code commune + voirie + numéro de voie) ou 14 (code commune + voirie + numéro de voie indice de répétition);025AED
2042-I-2;20;CB;NAD;C819.3229.01;NON;;AdresseCodeDivisionTerritoriale;ASE - Code Pays INSEE;5 numérique fixe;025AEE
2042-I-2;20;CC;NAD;C080.3036.01;NON;;Designation;ASE- En cas d'hébergement : Nom de la personne vous hébergeant;35 alphanumérique;025AEF
2042-I-2;20;CC;NAD;C080.3036.02;NON;;DesignationSuite1;ASE- En cas d'hébergement : Prénom de la personne vous hébergeant;30 alphanumérique;025AEG
2042-I-2;20;CD;CCI;C889.7111.01;NON;TBX;Valeur;ASE- Si vous souhaitez demander l'annulation de l'adresse spéciale d'envoi connue de l'administration, cochez la case;;025XAE
2042-I-2;20;CE;NAD;C080.3036.01;NON;;Designation;ASE- Nom du colocataire (en cas de colocation);35 alphanumérique;025AEW
2042-I-2;20;CE;NAD;C080.3036.02;NON;;DesignationSuite1;ASE- Prénom du colocataire (en cas de colocation);35 alphanumérique;025AEX
2042-I-3;20;AA;DTM;C507.2380.01;NON;102;Valeur;Changement de situation de famille intervenu en N-1 : Date du mariage / Pacs N-1;Format attendu : yyyyMMdd;025CAB
2042-I-3;20;AB;CCI;C889.7111.01;NON;SF1;Valeur;Changement de situation de famille intervenu en N-1 : Situation de famille au 1er janvier N;;025CAA
2042-I-3;20;AC;CCI;C889.7111.01;NON;SF2;Valeur;Changement de situation de famille intervenu en N : Nature du changement de situation de famille;;025CAC
2042-I-3;20;BA;DTM;C507.2380.01;NON;102;Valeur;Mariage / Pacs : Date du Mariage ou du Pacs;Format attendu : yyyyMMdd;0200AX
2042-I-3;20;BB;CCI;C889.7111.01;NON;TBX;Valeur;Mariage / Pacs : en cas de mariage avec votre partenaire PACS, cochez la case;;025XAP
2042-I-3;20;BC;CCI;C889.7111.01;NON;TBX;Valeur;Mariage / Pacs : Optez-vous pour la déclaration séparée?;;0200AB
2042-I-3;20;BD;NAD;C082.3039.01;NON;;Identifiant;Mariage / Pacs : si vousn optez pour la déclaration séparée, SPI du conjoint ou du partenaire;;025CAD
2042-I-3;20;CA;DTM;C507.2380.01;NON;102;Valeur;Divorce / Séparation / Rupture de Pacs : date de Séparation / Séparation / Ruprure de Pacs;Format attendu : yyyyMMdd;0200AY
2042-I-3;20;DA;DTM;C507.2380.01;NON;102;Valeur;Décès d'une personne seule (C,V,D) ou Couple (M, P) dont les membres du foyer sont décédés le même jour : date du décès;Format attendu : yyyyMMdd;0200AZ
2042-I-3;20;EA;CCI;C889.7111.01;NON;NDD;Valeur;Couple marié ou Pacsé au 1er janvier N en l'absnece de décès simultanné des membres du foyer : Déclaration commune pour la période avant décès ou déclaration en tant que personne seule (conjoint survivant) pour la période après décès;;025CAF
2042-I-3;20;EB;CCI;C889.7111.01;NON;PV3;Valeur;Couple marié ou Pacsé au 1er janvier N en l'absnece de décès simultanné des membres du foyer : Si vous souscrivez une déclaration commune en tant que couple Marié ou Pacsé pour la période avant décès, veuillez préciser la date de décès de votre conjoint et sa qualité dans le couple (D1,D2) : Qualité du conjoint décédé;;025CAG
2042-I-3;20;EC;DTM;C507.2380.01;NON;102;Valeur;Couple marié ou Pacsé au 1er janvier N en l'absnece de décès simultanné des membres du foyer : Si vous souscrivez une déclaration commune en tant que couple Marié ou Pacsé pour la période avant décès, veuillez préciser la date de décès de votre conjoint et sa qualité dans le couple (D1,D2) : Date de décès du conjoint;Format attendu : yyyyMMdd;025CAH
2042-I-3;20;ED;DTM;C507.2380.01;NON;102;Valeur;Si vous souscrivez cette déclaration en tant que personne seule, conjoint survivant : date de décès de votre conjoint;Format attendu : yyyyMMdd;025CAI
2042-I-3;20;EF;DTM;C507.2380.01;NON;102;Valeur;Dans le cas particulier du décès des deux membres du couple à des dates différentes : date de décès du 2ème défunt;Format attendu : yyyyMMdd;025CAJ
2042-0;20;AA;FII;C078.3194.01;NON;;Iban;IBAN;;025IBA
2042-0;20;AA;FII;C088.3433.01;NON;;Bic;BIC;;025BIC
2042-0;20;AD;CCI;C889.7111.01;NON;TBX;Valeur;cochez la case : Si le Compte Bancaire  est présent sur la déclaration pré-remplie (préimprimée) et vous ne souhaitez pas le modifier;;025XIC
2042-0;20;AE;CCI;C889.7111.01;NON;TBX;Valeur;cochez la case : Si le Compte Bancaire  est absent de la déclaration pré-remplie (préimprimée) ou vous souhaitez  le modifier  ou vous signalez un changement de situation de famille;;025XIB
2042-0;20;AF;CCI;C889.7111.01;NON;TI1;Valeur;Civilité  (connue par l'établissment bancaire bancaire);;025BTC
2042-0;20;AG;FTX;C108.4440.01;NON;;TexteLibre1;Titulaire du compte bancaire (connu par l'établissment bancaire hors civilité);60 caractères;025BTA
2042-0;20;AH;CCI;C889.7111.01;NON;TBX;Valeur;Vous devez  cochez cette case et vous acceptez que ces coordonnées bancaires soient utilisées :  . en N pour toute opération de restitution  . en N+1 pour toute opération de prélèvement ou de restitution liée à votre impôt sur le revenu.;;025XIM
2042-0;20;BA;CCI;C889.7111.01;NON;TBX;Valeur;Case à cocher : absence de télévision;;0200RA
2042-0;20;BB;CCI;C889.7111.01;NON;TBX;Valeur;Mandataire;;0200TA
2042-0;20;BC;CCI;C889.7111.01;NON;TBX;Valeur;Tiers de confiance;;0200VA
2042-0;20;BD;NAD;C076.3148.01;NON;TE;Telephone;Dans l'éventualité où un contact serait nécessaire à réception de la déclaration par le SI DGFiP, veuillez, éventuellement, préciser le téléphone du professionnel français;minimum = 10 numérique  maximum 13 numérique;025AR8
2042-0;20;BD;NAD;C076.3148.01;NON;EM;Email;Dans l'éventualité où un contact serait nécessaire à réception de la déclaration par le SI DGFiP, veuillez, éventuellement, préciser le courriel/mél du professionnel français;60 alpha-num @ 60 alph-num;025AR9
2042-0;20;BD;NAD;C080.3036.01;NON;;Designation;Dans l'éventualité où un contact serait nécessaire à réception de la déclaration par le SI DGFiP, veuillez, éventuellement, préciser le nom du professionnel francais;35 alphanumérique;025AR6
2042-0;20;BD;NAD;C080.3036.02;NON;;DesignationSuite1;Dans l'éventualité où un contact serait nécessaire à réception de la déclaration par le SI DGFiP, veuillez, éventuellement, préciser le nom du professionnel français (suite);35 alphanumérique;025AR7
2042-0;20;BD;NAD;C082.3039.01;NON;;Identifiant;Dans l'éventualité où un contact serait nécessaire à réception de la déclaration par le SI DGFiP, veuillez, éventuellement, préciser le SIRET du professionnel français;14 numérique;025AB2
2042-0;20;BE;NAD;C076.3148.01;NON;TE;Telephone;Dans l'éventualité où un contact serait nécessaire à réception de la déclaration par le SI DGFiP, veuillez, éventuellement, préciser le téléphone du contact étranger;minimum = 10 numérique  maximum 13 numérique;025AB5
2042-0;20;BE;NAD;C076.3148.01;NON;EM;Email;Dans l'éventualité où un contact serait nécessaire à réception de la déclaration par le SI DGFiP, veuillez, éventuellement, préciser le courriel/mél du professionnel étranger;60 alpha-num @ 60 alph-num;025AB6
2042-0;20;BE;NAD;C080.3036.01;NON;;Designation;Dans l'éventualité où un contact serait nécessaire à réception de la déclaration par le SI DGFiP, veuillez, éventuellement, préciser le nom du professionnel étranger;35 alphanumérique;025AB3
2042-0;20;BE;NAD;C080.3036.02;NON;;DesignationSuite1;Dans l'éventualité où un contact serait nécessaire à réception de la déclaration par le SI DGFiP, veuillez, éventuellement, préciser le nom du professionnel étranger (suite);35 alphanumérique;025AB4
2042-0;20;BE;NAD;C819.3229.01;NON;;AdresseCodeDivisionTerritoriale;Dans l'éventualité où un contact serait nécessaire à réception de la déclaration par le SI DGFiP, veuillez, éventuellement, préciser le code pays INSEE du professionnel étranger;;025AB7
2042-0;20;BF;RFF;C506.1154.01;NON;;Valeur;Dans l'éventualité où un contact serait nécessaire à réception de la déclaration par le SI DGFiP, veuillez, éventuellement, préciser l'identifiant du professionnel étranger;?? Numérique;025AB8
